Data,Valoare IDR (exprimată in lei),Variație,col_4
23.09.2024,0.0295,,
24.09.2024,0.0295,,
25.09.2024,0.0294,-0.0001,-0.34%
26.09.2024,0.0295,+0.0001,+0.34%
27.09.2024,0.0296,+0.0001,+0.34%
30.09.2024,0.0294,-0.0002,-0.68%
01.10.2024,0.0294,,
02.10.2024,0.0295,+0.0001,+0.34%
03.10.2024,0.0295,,
04.10.2024,0.0295,,
07.10.2024,0.0295,,
08.10.2024,0.0289,-0.0006,-2.03%
09.10.2024,0.0291,+0.0002,+0.69%
10.10.2024,0.0290,-0.0001,-0.34%
11.10.2024,0.0292,+0.0002,+0.69%
14.10.2024,0.0292,,
15.10.2024,0.0294,+0.0002,+0.68%
16.10.2024,0.0295,+0.0001,+0.34%
17.10.2024,0.0296,+0.0001,+0.34%
18.10.2024,0.0297,+0.0001,+0.34%
21.10.2024,0.0296,-0.0001,-0.34%
22.10.2024,0.0295,-0.0001,-0.34%
23.10.2024,0.0295,,
24.10.2024,0.0295,,
25.10.2024,0.0294,-0.0001,-0.34%
28.10.2024,0.0293,-0.0001,-0.34%
29.10.2024,0.0292,-0.0001,-0.34%
30.10.2024,0.0292,,
31.10.2024,0.0292,,
01.11.2024,0.0291,-0.0001,-0.34%
04.11.2024,0.0290,-0.0001,-0.34%
05.11.2024,0.0290,,
06.11.2024,0.0292,+0.0002,+0.69%
07.11.2024,0.0294,+0.0002,+0.68%
08.11.2024,0.0286,-0.0008,-2.72%
11.11.2024,0.0296,+0.0010,+3.5%
12.11.2024,0.0296,,
13.11.2024,0.0297,+0.0001,+0.34%
14.11.2024,0.0297,,
15.11.2024,0.0297,,
18.11.2024,0.0298,+0.0001,+0.34%
19.11.2024,0.0297,-0.0001,-0.34%
20.11.2024,0.0296,-0.0001,-0.34%
21.11.2024,0.0296,,
22.11.2024,0.0298,+0.0002,+0.68%
25.11.2024,0.0299,+0.0001,+0.34%
26.11.2024,0.0298,-0.0001,-0.33%
27.11.2024,0.0298,,
28.11.2024,0.0297,-0.0001,-0.34%
29.11.2024,0.0297,,
02.12.2024,0.0297,,
03.12.2024,0.0297,,
04.12.2024,0.0297,,
05.12.2024,0.0298,+0.0001,+0.34%
06.12.2024,0.0297,-0.0001,-0.34%
09.12.2024,0.0297,,
10.12.2024,0.0297,,
11.12.2024,0.0297,,
12.12.2024,0.0297,,
13.12.2024,0.0297,,
16.12.2024,0.0296,-0.0001,-0.34%
17.12.2024,0.0295,-0.0001,-0.34%
18.12.2024,0.0294,-0.0001,-0.34%
19.12.2024,0.0294,,
20.12.2024,0.0296,+0.0002,+0.68%
23.12.2024,0.0295,-0.0001,-0.34%
24.12.2024,0.0295,,
27.12.2024,0.0294,-0.0001,-0.34%
30.12.2024,0.0295,+0.0001,+0.34%
31.12.2024,0.0297,+0.0002,+0.68%
03.01.2025,0.0299,+0.0002,+0.67%
08.01.2025,0.0297,-0.0002,-0.67%
09.01.2025,0.0297,,
10.01.2025,0.0298,+0.0001,+0.34%
13.01.2025,0.0298,,
14.01.2025,0.0298,,
15.01.2025,0.0296,-0.0002,-0.67%
16.01.2025,0.0295,-0.0001,-0.34%
17.01.2025,0.0295,,
20.01.2025,0.0295,,
21.01.2025,0.0293,-0.0002,-0.68%
22.01.2025,0.0293,,
23.01.2025,0.0294,+0.0001,+0.34%
27.01.2025,0.0294,,
28.01.2025,0.0294,,
29.01.2025,0.0295,+0.0001,+0.34%
30.01.2025,0.0294,-0.0001,-0.34%
31.01.2025,0.0294,,
03.02.2025,0.0294,,
04.02.2025,0.0294,,
05.02.2025,0.0294,,
06.02.2025,0.0294,,
07.02.2025,0.0294,,
10.02.2025,0.0296,+0.0002,+0.68%
11.02.2025,0.0295,-0.0001,-0.34%
12.02.2025,0.0294,-0.0001,-0.34%
13.02.2025,0.0292,-0.0002,-0.68%
14.02.2025,0.0292,,
17.02.2025,0.0293,+0.0001,+0.34%
18.02.2025,0.0292,-0.0001,-0.34%
19.02.2025,0.0292,,
20.02.2025,0.0292,,
21.02.2025,0.0291,-0.0001,-0.34%
24.02.2025,0.0291,,
25.02.2025,0.0292,+0.0001,+0.34%
26.02.2025,0.0289,-0.0003,-1.03%
27.02.2025,0.0289,,
28.02.2025,0.0288,-0.0001,-0.35%
03.03.2025,0.0290,+0.0002,+0.69%
04.03.2025,0.0288,-0.0002,-0.69%
05.03.2025,0.0286,-0.0002,-0.69%
06.03.2025,0.0282,-0.0004,-1.4%
07.03.2025,0.0281,-0.0001,-0.35%
10.03.2025,0.0281,,
11.03.2025,0.0279,-0.0002,-0.71%
12.03.2025,0.0277,-0.0002,-0.72%
13.03.2025,0.0279,+0.0002,+0.72%
14.03.2025,0.0280,+0.0001,+0.36%
17.03.2025,0.0279,-0.0001,-0.36%
18.03.2025,0.0277,-0.0002,-0.72%
19.03.2025,0.0276,-0.0001,-0.36%
20.03.2025,0.0277,+0.0001,+0.36%
21.03.2025,0.0277,,
24.03.2025,0.0278,+0.0001,+0.36%
25.03.2025,0.0277,-0.0001,-0.36%
26.03.2025,0.0278,+0.0001,+0.36%
27.03.2025,0.0279,+0.0001,+0.36%
28.03.2025,0.0278,-0.0001,-0.36%
31.03.2025,0.0278,,
01.04.2025,0.0278,,
02.04.2025,0.0278,,
03.04.2025,0.0277,-0.0001,-0.36%
04.04.2025,0.0272,-0.0005,-1.81%
07.04.2025,0.0272,,
08.04.2025,0.0270,-0.0002,-0.74%
09.04.2025,0.0267,-0.0003,-1.11%
10.04.2025,0.0270,+0.0003,+1.12%
11.04.2025,0.0270,,
14.04.2025,0.0270,,
15.04.2025,0.0270,,
16.04.2025,0.0270,,
17.04.2025,0.0270,,
22.04.2025,0.0257,-0.0013,-4.81%
23.04.2025,0.0259,+0.0002,+0.78%
24.04.2025,0.0259,,
25.04.2025,0.0261,+0.0002,+0.77%
28.04.2025,0.0260,-0.0001,-0.38%
29.04.2025,0.0261,+0.0001,+0.38%
30.04.2025,0.0264,+0.0003,+1.15%
02.05.2025,0.0268,+0.0004,+1.52%
05.05.2025,0.0268,,
06.05.2025,0.0270,+0.0002,+0.75%
07.05.2025,0.0271,+0.0001,+0.37%
08.05.2025,0.0275,+0.0004,+1.48%
09.05.2025,0.0275,,
12.05.2025,0.0274,-0.0001,-0.36%
13.05.2025,0.0274,,
14.05.2025,0.0275,+0.0001,+0.36%
15.05.2025,0.0276,+0.0001,+0.36%
16.05.2025,0.0277,+0.0001,+0.36%
19.05.2025,0.0272,-0.0005,-1.81%
20.05.2025,0.0275,+0.0003,+1.1%
21.05.2025,0.0273,-0.0002,-0.73%
